yolo_disease,yolo_insect,tabnet_disease,tabnet_insect,is_disease,is_insect
0.0,2,0.9567544389383768,0.4342645511089531,1,1
0.09829106255411438,2,0.6303696873504766,0.9493924577595181,1,1
0.0,2,0.8184388973132578,0.3751712924720082,1,1
0.0,0,0.30405806164359317,0.5042721105724336,0,1
0.17930728261385148,0,0.6657067514663871,0.999095160867982,1,1
0.0,0,0.33693801444709304,0.5142173565663446,0,1
0.11889136548231725,2,0.837632693033995,0.7967783233629606,1,0
0.0,0,0.8261808864067228,0.3747710673069914,0,0
0.0,0,0.8294072729147212,0.7596180127527822,1,1
0.36703855300356203,1,0.7289834068069287,0.6880716081925377,1,1
0.0,1,0.26021771669876104,0.5856800505517008,0,0
0.0,2,0.8495899421495019,0.017166625429871463,1,0
0.14329666450755707,0,0.45276558819063095,0.8573460190520004,1,0
0.0,0,0.9123790571712407,0.5720503934160743,1,0
0.0,1,0.3905214815364386,0.8843707553099088,0,1
0.0,2,0.8531352145680141,0.8499471308627395,1,1
0.00631035060954839,1,0.530107816136876,0.4671443957941752,0,1
0.0,0,0.7835425440878526,0.6808902552835527,1,1
0.0,0,0.4438186193929492,0.15215729438774805,0,0
0.16099885110067616,2,0.2629983711971484,0.06389626875764132,1,0
0.14984007443813313,0,0.9937865850464698,0.05027448810567414,1,0
0.4415369573481563,2,0.10772076884339976,0.21483773926816419,1,0
0.06346529823032432,0,0.9022663284475739,0.7528384539409273,1,1
0.0,0,0.9850491518849246,0.5896588036192575,1,1
0.025383225956124775,0,0.7803229362326358,0.8884980205541747,1,1
0.0,2,0.9909469609991427,0.14652193133499647,1,1
0.0,2,0.826060816404029,0.7602454255120531,1,0
0.0,0,0.4368240128325397,0.879084809316602,0,1
0.0,0,0.9585687508928876,0.3431640158716036,0,0
0.10932118821676239,1,0.2274607704043924,0.350646764246341,1,1
0.17689186783019345,1,0.22120535193625002,0.7521535909761856,1,1
0.0,1,0.1560101949893059,0.8615953275917294,0,1
0.0,0,0.44505148463115374,0.8695036466514712,0,1
0.2899989125242074,1,0.9507544334745355,0.3345026697558603,1,1
0.0,0,0.4385010346363183,0.2894156940837841,0,0
0.0,2,0.11125728139424795,0.7892673066050138,0,1
0.0,0,0.057494746515935335,0.7853376068046731,0,1
0.0,0,0.8657093290405717,0.6390437534219757,1,1
0.0,1,0.605810928214151,0.4038407671759161,1,0
0.0,1,0.3075832770965846,0.555152591143013,0,1
0.1201836580449923,0,0.02608830053090061,0.5079994454299722,1,0
0.0,1,0.39750284601899366,0.023430245811977723,0,1
0.0,2,0.9352230903966795,0.6623828384376287,1,1
0.22395872109846177,0,0.2512090399563658,0.863060269734297,0,1
0.08304582555096793,0,0.19583340649666447,0.5162592224270292,1,0
0.19841782607523417,2,0.3650306127051579,0.6942351492426934,1,1
0.14681264955372347,0,0.30066026951256963,0.9602066214462717,0,1
0.0,0,0.0336003116121939,0.987965677294723,0,1
0.0,1,0.3528601341630898,0.8585144589675311,0,1
0.1257699172182663,0,0.39850726424722105,0.6026657187540553,1,1
0.0,0,0.14612862945718663,0.20608421068724314,0,0
0.0429998173855303,0,0.1945954476448991,0.6292140672698011,1,1
0.0,0,0.698641410399178,0.6794080743614695,1,1
